Country Name,Country Code,Time,Time Code,"International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]",GDP (current US$) [NY.GDP.MKTP.CD]
"Congo, Rep.",COG,2019,YR2019,..,..,..,12750338736.1661
"Congo, Rep.",COG,2020,YR2020,..,..,..,10483151093.6873
Costa Rica,CRI,2016,YR2016,1055000000,3204000,3776000000,58847019584.9144
Costa Rica,CRI,2017,YR2017,1322000000,3231000,3758000000,60516044623.4876
Costa Rica,CRI,2018,YR2018,1198000000,3313000,4073000000,62420164964.6987
Costa Rica,CRI,2019,YR2019,1330000000,3366000,4282000000,64417670555.7821
Costa Rica,CRI,2020,YR2020,697000000,1146500,1479000000,62395610764.0705
Cote d'Ivoire,CIV,2016,YR2016,491000000,1583000,477000000,48407761031.6758
Cote d'Ivoire,CIV,2017,YR2017,564000000,1800000,509000000,52512344033.9625
Cote d'Ivoire,CIV,2018,YR2018,625000000,1965000,551000000,58522477744.7313
Cote d'Ivoire,CIV,2019,YR2019,702000000,2070000,550500000,59898479821.1946
Cote d'Ivoire,CIV,2020,YR2020,315000000,668000,199300003.051758,62982768371.5174
Croatia,HRV,2016,YR2016,954000000,57587000,9215000000,52391038979.0338
Croatia,HRV,2017,YR2017,1410000000,59238000,10534000000,55937483557.9256
Croatia,HRV,2018,YR2018,1741000000,57668000,11348000000,61330483609.8835
Croatia,HRV,2019,YR2019,1811000000,60021000,11974000000,61329267533.1316
Croatia,HRV,2020,YR2020,789687194.824219,21608000,5631853027.34375,57624938982.3606
Cuba,CUB,2016,YR2016,..,4009000,3069000000,91370000000
Cuba,CUB,2017,YR2017,..,4654000,3302000000,96851000000
Cuba,CUB,2018,YR2018,..,4712000,2783000000,100050000000
Cuba,CUB,2019,YR2019,..,4276000,2645000000,103428000000
Cuba,CUB,2020,YR2020,..,1086000,1152000000,107352000000
Curacao,CUW,2016,YR2016,428000000,944000,644000000,3014748603.35196
Curacao,CUW,2017,YR2017,447000000,1058000,572000000,3009497206.70391
Curacao,CUW,2018,YR2018,452000000,1210000,604000000,3020388826.81564
Curacao,CUW,2019,YR2019,411000000,1293000,706000000,2995185474.86034
Curacao,CUW,2020,YR2020,127000000,..,282000000,2496174748.60335
Cyprus,CYP,2016,YR2016,1559318481.44531,3286000,2870000000,21046452117.3765
Cyprus,CYP,2017,YR2017,1378000000,3750000,3274000000,22946583375.5508
Cyprus,CYP,2018,YR2018,1569000000,4024000,3449000000,25597301190.678
Cyprus,CYP,2019,YR2019,1596000000,4117000,3245000000,25945194240.4544
Cyprus,CYP,2020,YR2020,880000000,..,663000000,25008266159.2479
Czechia,CZE,2016,YR2016,4962000000,32519000,7041000000,196272068576.338
Czechia,CZE,2017,YR2017,5533000000,34701000,7695000000,218628940951.675
Czechia,CZE,2018,YR2018,6074000000,36268000,8283000000,249000540729.179
Czechia,CZE,2019,YR2019,6034000000,37202000,7967000000,252548179964.897
Czechia,CZE,2020,YR2020,3495000000,..,3890000000,245974558654.043
Denmark,DNK,2016,YR2016,9174000000,28692000,7494000000,313115929314.339
Denmark,DNK,2017,YR2017,9804000000,30736000,8508000000,332121063806.391
Denmark,DNK,2018,YR2018,10485000000,30801000,9097000000,356841216410.068
