,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,# of departures,GDP (US$),Total Population
86,2016,"Hong Kong SAR, China",24141000000,37838000000,56655000,91758000,320860317562.562,7336600.0
519,2018,Honduras,558000000,601000000,2323000,703000,24067750465.9361,9792850.0
302,2017,Honduras,517000000,610000000,2144000,727000,23136248046.2979,9626842.0
85,2016,Honduras,482000000,585000000,2228000,1121000,21717604580.8627,9460798.0
731,2019,Guatemala,1128000000,1227199951.17188,2560000,1703000,77172313916.4218,16604026.0
948,2020,Guatemala,346000000,298500000,594000,507799.987792969,77715183063.2054,16858333.0
514,2018,Guatemala,1105000000,1235099975.58594,2406000,1538000,73328369925.8478,16346950.0
80,2016,Guatemala,1032000000,1202699951.17188,1906000,1195000,66053402744.7267,15827690.0
297,2017,Guatemala,1066000000,1217599975.58594,2120000,1328000,71653756504.1625,16087418.0
510,2018,Greece,3910000000,21594000000,33072000,7961000,212049447242.107,10732882.0
944,2020,Greece,1500000000,6193000000,7406000,2324000,188925995936.803,10698599.0
727,2019,Greece,4211000000,23003000000,34005000,7848000,205257014892.498,10721582.0
76,2016,Greece,3412000000,16811000000,28071000,7235000,193148146586.938,10775971.0
293,2017,Greece,3306000000,19139000000,30161000,7685000,199844406013.533,10754679.0
724,2019,Germany,101231000000,58372000000,39563000,99533000,3888226035921.49,83092962.0
73,2016,Germany,87412000000,52234000000,35555000,90966000,3469853463945.63,82348669.0
290,2017,Germany,97163000000,55750000000,37452000,92402000,3690849152517.69,82657002.0
507,2018,Germany,103502000000,59446000000,38881000,108542000,3974443355019.53,82905782.0
289,2017,Georgia,853000000,2971000000,6483000,3851000,16242647229.7398,3728004.0
72,2016,Georgia,706000000,2315000000,5393000,3400000,15141598622.5692,3727505.0
723,2019,Georgia,1124000000,3551000000,7726000,3780000,17470436258.5131,3720161.0
506,2018,Georgia,960000000,3518000000,7203000,3698000,17596922469.9152,3726549.0
69,2016,French Polynesia,226000000,782000000,241000,48000,5497036486.74487,293541.0
68,2016,France,49029000000,63557000000,203042000,29636000,2472964344587.23,66724104.0
502,2018,France,59131000000,72518000000,211998000,48069000,2790956878746.61,67158348.0
936,2020,France,31193000000,35958000000,117109000,21287000,2639008701648.21,67571107.0
719,2019,France,59751000000,70776000000,217877000,49276000,2728870246705.83,67388001.0
285,2017,France,53787000000,67717000000,207274000,44265000,2595151045197.67,66918020.0
284,2017,Finland,6740000000,5210000000,3180000,10480000,255647979916.473,5508214.0
67,2016,Finland,6199000000,4017000000,2789000,10278000,240771351298.84,5495303.0
935,2020,Finland,1940000000,1757000000,896000,2690000,271886077382.097,5529543.0
718,2019,Finland,6841000000,5944000000,3290000,10440000,268514916972.544,5521606.0
501,2018,Finland,7223000000,5762000000,3224000,10480000,275708001767.838,5515525.0
283,2017,Fiji,138000000,1243000000,1027000,169000,5353468387.56019,919019.0
717,2019,Fiji,174000000,1345000000,969000,174000,5481692621.61125,918465.0
66,2016,Fiji,119000000,1149000000,963000,156000,4930213787.50451,918371.0
500,2018,Fiji,160000000,1370000000,1058000,174000,5581425890.96651,918996.0
931,2020,Eswatini,36400001.5258789,7300000.19073486,345299.987792969,488000,3982236726.3678,1180655.0
497,2018,Eswatini,43000000,16399999.6185303,1277000,1717000,4666598023.91856,1160428.0
280,2017,Eswatini,74000000,13199999.8092651,1343000,1751000,4402969225.92165,1151390.0
63,2016,Eswatini,33000000,13199999.8092651,1279000,1789000,3816019222.86268,1142524.0
714,2019,Eswatini,33000000,14300000.1907349,1226000,1721000,4466214522.19539,1169613.0
496,2018,Estonia,1647000000,2326000000,6033000,2069000,30624720196.2285,1321977.0
62,2016,Estonia,1299000000,1911000000,5942000,1339000,24072829276.775,1315790.0
279,2017,Estonia,1395000000,2124000000,6145000,1279000,26924385103.0662,1317384.0
930,2020,Estonia,676000000,865000000,1695000,558000,31370395572.7653,1329522.0
713,2019,Estonia,1808000000,2310000000,6103000,1702000,31081901909.2151,1326898.0
276,2017,El Salvador,466000000,1227000000,2247000,1871000,24979190000,6266654.0
710,2019,El Salvador,504000000,1664000000,2639000,1899000,26881140000,6280217.0
493,2018,El Salvador,490000000,1370000000,2536000,1788000,26020850000,6276342.0
59,2016,El Salvador,451000000,1161000000,2052000,1804000,24191430000,6250510.0
927,2020,El Salvador,162000000,755000000,707000,515000,24930080000,6292731.0
57,2016,Ecuador,1454000000,1729000000,1569000,1366000,99937696000,16439585.0
708,2019,Ecuador,1650000000,2288000000,2108000,1515000,108108009000,17343740.0
491,2018,Ecuador,1523000000,2279000000,2535000,1402000,107562008000,17015672.0
274,2017,Ecuador,1463000000,2018000000,1806000,1347000,104295862000,16696944.0
56,2016,Dominican Republic,882000000,6720000000,6769000,500000,75704647977.2591,10527592.0
490,2018,Dominican Republic,1006000000,7561000000,7551000,514000,85555390385.9812,10765531.0
273,2017,Dominican Republic,940000000,7184000000,7296000,522000,79998045975.5137,10647244.0
270,2017,Denmark,9804000000,8508000000,30736000,8087000,332121063806.391,5764980.0
53,2016,Denmark,9174000000,7494000000,28692000,9651000,313115929314.339,5728010.0
487,2018,Denmark,10485000000,9097000000,30801000,7475000,356841216410.068,5793636.0
269,2017,Czechia,5533000000,7695000000,34701000,6775000,218628940951.675,10594438.0
703,2019,Czechia,6034000000,7967000000,37202000,7346000,252548179964.897,10671870.0
52,2016,Czechia,4962000000,7041000000,32519000,6027000,196272068576.338,10566332.0
486,2018,Czechia,6074000000,8283000000,36268000,7390000,249000540729.179,10629928.0
51,2016,Cyprus,1559318481.44531,2870000000,3286000,1268000,21046452117.3765,1197881.0
485,2018,Cyprus,1569000000,3449000000,4024000,1446000,25597301190.678,1218831.0
268,2017,Cyprus,1378000000,3274000000,3750000,1407000,22946583375.5508,1208523.0
702,2019,Cyprus,1596000000,3245000000,4117000,1578000,25945194240.4544,1228836.0
699,2019,Croatia,1811000000,11974000000,60021000,3500000,61329267533.1316,4065253.0
48,2016,Croatia,954000000,9215000000,57587000,2581000,52391038979.0338,4174349.0
265,2017,Croatia,1410000000,10534000000,59238000,2597000,55937483557.9256,4124531.0
482,2018,Croatia,1741000000,11348000000,57668000,2980000,61330483609.8835,4087843.0
916,2020,Croatia,789687194.824219,5631853027.34375,21608000,678000,57624938982.3606,4047680.0
46,2016,Costa Rica,1055000000,3776000000,3204000,1036000,58847019584.9144,4945205.0
480,2018,Costa Rica,1198000000,4073000000,3313000,1079000,62420164964.6987,5040734.0
263,2017,Costa Rica,1322000000,3758000000,3231000,1150000,60516044623.4876,4993842.0
697,2019,Costa Rica,1330000000,4282000000,3366000,1153000,64417670555.7821,5084532.0
914,2020,Costa Rica,697000000,1479000000,1146500,324000,62395610764.0705,5123105.0
44,2016,"Congo, Dem. Rep.",60000000,4300000,351000,424000,37134801548.836,81430977.0
910,2020,Colombia,1576000000,1959000000,1396000,1275000,270150956772.567,50930662.0
42,2016,Colombia,4891000000,5631000000,3675000,3795000,282720100286.228,47625955.0
259,2017,Colombia,5136000000,5899000000,4056000,4017000,311866875135.576,48351671.0
693,2019,Colombia,5658000000,6784000000,4531000,4479000,323031701210.767,50187406.0
476,2018,Colombia,5531000000,6655000000,4397000,4368000,334198218100.716,49276961.0
257,2017,Chile,3093000000,4115000000,7621000,4367000,276364936832.331,18368577.0
40,2016,Chile,2733000000,3744000000,6712000,4269000,249298706449.182,18083879.0
691,2019,Chile,3142000000,3279000000,5431000,4091000,278493308134.096,19039485.0
474,2018,Chile,3124000000,3911000000,6603000,4605000,295402646018.151,18701450.0
