Country Name,Country Code,2015 [YR2015] - GDP (current US$) [NY.GDP.MKTP.CD],"2015 [YR2015] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2015 [YR2015] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2016 [YR2016] - GDP (current US$) [NY.GDP.MKTP.CD],"2016 [YR2016] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2016 [YR2016] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2017 [YR2017] - GDP (current US$) [NY.GDP.MKTP.CD],"2017 [YR2017] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2017 [YR2017] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2018 [YR2018] - GDP (current US$) [NY.GDP.MKTP.CD],"2018 [YR2018] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2018 [YR2018] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2019 [YR2019] - GDP (current US$) [NY.GDP.MKTP.CD],"2019 [YR2019] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2019 [YR2019] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2020 [YR2020] - GDP (current US$) [NY.GDP.MKTP.CD],"2020 [YR2020] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2020 [YR2020] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]"
Kyrgyz Republic,KGZ,6678177483.42949,482000000,535000000,6813095396.14317,477000000,582000000,7702938395.18458,480000000,422000000,8271106196.04253,518000000,451000000,8871019822.76098,708000000,519000000,7780873258.66887,195000000,185000000
Lao PDR,LAO,14426381187.0894,725000000,1002000000,15912495368.8717,717000000,912099975.585938,17071162084.4067,655000000,930000000,18141651381.3884,833000000,1005000000,18740559554.1632,974000000,1029000000,18981800705.0794,227000000,260000000
Latvia,LVA,27263090547.0617,..,..,28083597512.4849,..,..,30483806017.8321,..,..,34429023435.0205,..,..,34343961072.8229,..,..,34601740323.338,..,..
Lebanon,LBN,49929337837.0813,7087000000,5187000000,51147308773.9304,7373000000,5252000000,53027680685.8375,8086000000,5704000000,54901519155.6219,8694000000,6395000000,51605959131.3654,8717000000,6495000000,31712128253.7961,2369000000,1699000000
Lesotho,LSO,2359754087.58169,..,180000000,2114426468.65681,..,262000000,2306741598.79677,..,307000000,2556247155.56945,..,347000000,2436029587.61009,..,323000000,2117736527.79886,..,277000000
Liberia,LBR,3227075700,..,..,3398419600,..,..,3390703400,..,..,3422754800,..,..,3319596500,..,..,3039982500,..,..
Libya,LBY,48717506272.6981,..,1066000000,49912085228.3487,..,813000000,67157451660.2727,..,2005000000,76686048499.3527,..,2042000000,69254143968.3398,..,..,46808208747.2754,..,..
Liechtenstein,LIE,6268513139.70288,..,..,6237299538.02934,..,..,6474310909.50636,..,..,6692618410.5125,..,..,6436467007.11932,..,..,6405765970.4778,..,..
Lithuania,LTU,41435533340.3883,..,..,43047309305.7375,..,..,47758736931.7805,..,..,53751411409.4437,..,..,54760617012.9166,..,..,56914826860.6918,..,..
Luxembourg,LUX,60071584216.1375,6182000000,2333000000,62216885435.9505,5606000000,2048000000,65712180342.9842,5472000000,2607000000,71000359760.4599,5642000000,2872000000,69825641851.0104,5645000000,3288000000,73992591285.3017,4454000000,2458000000
