,Country Name,Time,International Tourism Expenditures USD,International Tourism Arrivals,International Tourism Receipts USD,GDP in USD
723,Nigeria,2019.0,16406000000,..,1471000000,474517470742.749
722,Nigeria,2018.0,13218000000,..,1977000000,421739210176.152
721,Nigeria,2017.0,8194000000,..,2615000000,375745732274.676
720,Nigeria,2016.0,4524000000,5265000,1088000000,404649048648.026
716,Niger,2017.0,120000000,164000,91000000,11185101444.3729
715,Niger,2016.0,110000000,152000,84000000,10398861980.6524
718,Niger,2019.0,144500000,192000,130000000,12916454870.5458
717,Niger,2018.0,141000000,157000,114000000,12808661487.4035
707,New Zealand,2018.0,4603000000,3858000,10961000000,211886686924.483
706,New Zealand,2017.0,4463000000,3723000,10594000000,206556258844.567
705,New Zealand,2016.0,4010000000,3494000,9773000000,188838342527.975
700,New Caledonia,2016.0,252000000,116000,248000000,8724568970.67697
696,Netherlands,2017.0,22301099609.375,17924000,21844699218.75,833869641687.068
699,Netherlands,2020.0,7435700195.3125,7265000,10926200195.3125,909793466661.466
695,Netherlands,2016.0,20188800781.25,15828000,19421800781.25,784060430240.101
698,Netherlands,2019.0,22547400390.625,20129000,23723900390.625,910194347568.61
697,Netherlands,2018.0,23359300781.25,18780000,23919099609.375,914043438179.591
693,Nepal,2019.0,713000000,1197000,801000000,34186180694.9285
692,Nepal,2018.0,915000000,1173000,740000000,33111525182.7133
691,Nepal,2017.0,886000000,940000,712000000,28971588880.8208
690,Nepal,2016.0,634000000,753000,498000000,24524109484.7453
694,Nepal,2020.0,267000000,230000,238000000,33433659223.1789
687,Nauru,2018.0,7100000,..,1600000,130995580.092154
686,Nauru,2017.0,9000000,..,3900000,109355653.690742
685,Nauru,2016.0,10000000,..,3400000,97541914.5833045
684,Namibia,2020.0,77000000,187100.006103516,155000000,10583748757.3345
682,Namibia,2018.0,69000000,1639000,488000000,13682019171.6627
681,Namibia,2017.0,92000000,1581000,449000000,12895153160.466
680,Namibia,2016.0,82000000,1551000,295000000,10722018975.0783
683,Namibia,2019.0,118000000,1651000,451000000,12541928102.7657
675,Myanmar,2016.0,201000000,2907000,2289000000,60291738934.7768
678,Myanmar,2019.0,214000000,4364000,2501000000,68697761477.1809
677,Myanmar,2018.0,118000000,3551000,1670000000,67144726167.9294
676,Myanmar,2017.0,136000000,3443000,1988000000,61449391917.1276
670,Mozambique,2016.0,290000000,1715000,114000000,11936993086.9579
671,Mozambique,2017.0,237000000,1514000,164000000,13219079497.7055
672,Mozambique,2018.0,135000000,2870000,331000000,14845400592.6712
673,Mozambique,2019.0,99000000,2033000,324000000,15390031039.9957
674,Mozambique,2020.0,95000000,..,113000000,14156864916.4711
666,Morocco,2017.0,2829000000,11540000,9086000000,118540574727.552
669,Morocco,2020.0,1509000000,2802000,4514000000,121347533649.793
668,Morocco,2019.0,3102000000,13109000,9949000000,128920265075.525
667,Morocco,2018.0,2987000000,12489000,9520000000,127341141871.205
665,Morocco,2016.0,2312000000,10677000,7922000000,111572946646.535
661,Montenegro,2017.0,91000000,1877000,1110000000,4856602178.63413
660,Montenegro,2016.0,91000000,1662000,978000000,4376929571.63114
664,Montenegro,2020.0,38000000,351000,180000000,4769995511.55242
663,Montenegro,2019.0,72000000,2510000,1276000000,5542053845.29274
662,Montenegro,2018.0,73000000,2077000,1224000000,5506944403.30196
655,Mongolia,2016.0,536000000,471000,379000000,11181350649.2247
657,Mongolia,2018.0,822000000,598000,526000000,13178094719.8612
658,Mongolia,2019.0,1036000000,637000,605000000,14206359016.4014
659,Mongolia,2020.0,573000000,66900.0015258789,49000000,13312981427.4023
656,Mongolia,2017.0,618000000,543000,462000000,11480847740.0839
648,Moldova,2019.0,479000000,174000,527000000,11735774634.4239
649,Moldova,2020.0,303000000,29000,354000000,11531967881.0624
645,Moldova,2016.0,334000000,121000,344000000,7982450758.03213
646,Moldova,2017.0,380000000,145000,442000000,9519053158.46404
647,Moldova,2018.0,438000000,160000,500000000,11253727815.4762
1240,Middle East & North Africa (excluding high income),2016.0,35581693840.6059,41373623.8181917,35484947278.8251,1475844914342.24
1243,Middle East & North Africa (excluding high income),2019.0,42475887863.3529,65756226.1253439,55317558282.0073,1408624610717.23
1242,Middle East & North Africa (excluding high income),2018.0,35968285073.1716,58807590.7872825,49964342953.8253,1400046333583.24
1241,Middle East & North Africa (excluding high income),2017.0,38179709327.0039,48550026.9757678,43470158784.1131,1476907778479.73
1248,Middle East & North Africa (IDA & IBRD countries),2019.0,41590616262.2523,65078454.6035971,55056396011.2723,1391491110717.23
1246,Middle East & North Africa (IDA & IBRD countries),2017.0,37365133167.8178,48055307.589623,43252384809.6557,1460779778479.73
1245,Middle East & North Africa (IDA & IBRD countries),2016.0,34963037871.1785,40984877.3879004,35252808777.8044,1460439514342.24
1247,Middle East & North Africa (IDA & IBRD countries),2018.0,35139572487.2867,58212100.3830495,49728453994.3907,1383769733583.24
1235,Middle East & North Africa,2016.0,111678748464.895,119350820.631413,103732379641.388,3213372950118.37
1238,Middle East & North Africa,2019.0,121506562095.784,152571279.95283,145143594987.669,3522808006382.47
1236,Middle East & North Africa,2017.0,116785480649.745,127054293.453213,118782686001.923,3352271233734.46
