,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
36,2016,Cayman Islands,194000000,708000000,2097000,4909322200,62255
470,2018,Cayman Islands,284000000,911000000,2384000,5530178498,64884
253,2017,Cayman Islands,271000000,832000000,2147000,5166281293,63581
474,2018,Chile,3124000000,3911000000,6603000,295402646018,18701450
257,2017,Chile,3093000000,4115000000,7621000,276364936832,18368577
691,2019,Chile,3142000000,3279000000,5431000,278493308134,19039485
40,2016,Chile,2733000000,3744000000,6712000,249298706449,18083879
42,2016,Colombia,4891000000,5631000000,3675000,282720100286,47625955
476,2018,Colombia,5531000000,6655000000,4397000,334198218100,49276961
259,2017,Colombia,5136000000,5899000000,4056000,311866875135,48351671
693,2019,Colombia,5658000000,6784000000,4531000,323031701210,50187406
910,2020,Colombia,1576000000,1959000000,1396000,270150956772,50930662
694,2019,Comoros,53000000,72699996,45099,1195019531,790986
260,2017,Comoros,42000000,60599998,28000,1077439756,761664
911,2020,Comoros,43000000,18500000,7000,1225039195,806166
43,2016,Comoros,38000000,50500000,26799,1012835492,746232
477,2018,Comoros,48000000,73699996,35900,1188797449,776313
44,2016,"Congo, Dem. Rep.",60000000,4300000,351000,37134801548,81430977
45,2016,"Congo, Rep.",457000000,42900001,213000,10219341017,5186824
46,2016,Costa Rica,1055000000,3776000000,3204000,58847019584,4945205
914,2020,Costa Rica,697000000,1479000000,1146500,62395610764,5123105
480,2018,Costa Rica,1198000000,4073000000,3313000,62420164964,5040734
697,2019,Costa Rica,1330000000,4282000000,3366000,64417670555,5084532
263,2017,Costa Rica,1322000000,3758000000,3231000,60516044623,4993842
47,2016,Cote d'Ivoire,491000000,477000000,1583000,48407761031,24213622
915,2020,Cote d'Ivoire,315000000,199300003,668000,62982768371,26811790
481,2018,Cote d'Ivoire,625000000,551000000,1965000,58522477744,25493988
264,2017,Cote d'Ivoire,564000000,509000000,1800000,52512344033,24848016
698,2019,Cote d'Ivoire,702000000,550500000,2070000,59898479821,26147551
265,2017,Croatia,1410000000,10534000000,59238000,55937483557,4124531
699,2019,Croatia,1811000000,11974000000,60021000,61329267533,4065253
48,2016,Croatia,954000000,9215000000,57587000,52391038979,4174349
916,2020,Croatia,789687194,5631853027,21608000,57624938982,4047680
482,2018,Croatia,1741000000,11348000000,57668000,61330483609,4087843
50,2016,Curacao,428000000,644000000,944000,3014748603,159664
701,2019,Curacao,411000000,706000000,1293000,2995185474,157441
484,2018,Curacao,452000000,604000000,1210000,3020388826,159336
267,2017,Curacao,447000000,572000000,1058000,3009497206,160175
51,2016,Cyprus,1559318481,2870000000,3286000,21046452117,1197881
702,2019,Cyprus,1596000000,3245000000,4117000,25945194240,1228836
485,2018,Cyprus,1569000000,3449000000,4024000,25597301190,1218831
268,2017,Cyprus,1378000000,3274000000,3750000,22946583375,1208523
703,2019,Czechia,6034000000,7967000000,37202000,252548179964,10671870
