Time,Time Code,Country Name,Country Code,"International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]"
2017,YR2017,Brazil,BRA,22991000000,6175000000,6589000,10610000,2063514688761.67,208504960
2017,YR2017,British Virgin Islands,VGB,..,..,335000,..,..,30060
2017,YR2017,Brunei Darussalam,BRN,504000000,177000000,4316000,..,12128182463.596,430276
2017,YR2017,Bulgaria,BGR,2047000000,4663000000,11596000,6228000,59343060705.828,7075947
2017,YR2017,Burkina Faso,BFA,182000000,172000000,143000,..,14106955625.3571,19835858
2017,YR2017,Burundi,BDI,..,..,299000,..,2723586962.18686,11155593
2017,YR2017,Cabo Verde,CPV,100000000,451000000,668000,..,1996741544.61549,564954
2017,YR2017,Cambodia,KHM,919000000,4024000000,5602000,1752000,22177200588.6749,15830689
2017,YR2017,Cameroon,CMR,845000000,544000000,1081000,..,36098547058.7877,24393181
2017,YR2017,Canada,CAN,..,..,31081000,54955000,1649265644244.09,36545236
2017,YR2017,Cayman Islands,CYM,271000000,832000000,2147000,..,5166281293.18715,63581
2017,YR2017,Central African Republic,CAF,..,..,107000,..,2072349974.15272,4996741
2017,YR2017,Chad,TCD,..,..,87000,52000,10000394388.1158,15085884
2017,YR2017,Channel Islands,CHI,..,..,..,..,9530244530.24453,165215
2017,YR2017,Chile,CHL,3093000000,4115000000,7621000,4367000,276364936832.331,18368577
2017,YR2017,China,CHN,..,..,153260000,143035000,12310491176727.3,1396215000
2017,YR2017,Colombia,COL,5136000000,5899000000,4056000,4017000,311866875135.576,48351671
2017,YR2017,Comoros,COM,42000000,60599998.4741211,28000,..,1077439756.12224,761664
2017,YR2017,"Congo, Dem. Rep.",COD,68000000,6000000,..,..,38019264804.5125,84283273
2017,YR2017,"Congo, Rep.",COG,..,..,151000,..,11094823676.5914,5312340
2017,YR2017,Costa Rica,CRI,1322000000,3758000000,3231000,1150000,60516044623.4876,4993842
2017,YR2017,Cote d'Ivoire,CIV,564000000,509000000,1800000,..,52512344033.9625,24848016
2017,YR2017,Croatia,HRV,1410000000,10534000000,59238000,2597000,55937483557.9256,4124531
2017,YR2017,Cuba,CUB,..,3302000000,4654000,459000,96851000000,11336405
2017,YR2017,Curacao,CUW,447000000,572000000,1058000,..,3009497206.70391,160175
2017,YR2017,Cyprus,CYP,1378000000,3274000000,3750000,1407000,22946583375.5508,1208523
2017,YR2017,Czechia,CZE,5533000000,7695000000,34701000,6775000,218628940951.675,10594438
2017,YR2017,Denmark,DNK,9804000000,8508000000,30736000,8087000,332121063806.391,5764980
2017,YR2017,Djibouti,DJI,..,36200000,..,..,2762581334.22612,1040233
2017,YR2017,Dominica,DMA,28000000,161000000,230000,..,521551851.851852,70403
2017,YR2017,Dominican Republic,DOM,940000000,7184000000,7296000,522000,79998045975.5137,10647244
2017,YR2017,Ecuador,ECU,1463000000,2018000000,1806000,1347000,104295862000,16696944
2017,YR2017,"Egypt, Arab Rep.",EGY,2419000000,8636000000,8292000,..,248362771739.13,101789386
2017,YR2017,El Salvador,SLV,466000000,1227000000,2247000,1871000,24979190000,6266654
2017,YR2017,Equatorial Guinea,GNQ,..,..,..,..,12200913887.6428,1450694
2017,YR2017,Eritrea,ERI,..,..,..,..,..,3396933
2017,YR2017,Estonia,EST,1395000000,2124000000,6145000,1279000,26924385103.0662,1317384
2017,YR2017,Eswatini,SWZ,74000000,13199999.8092651,1343000,1751000,4402969225.92165,1151390
2017,YR2017,Ethiopia,ETH,363500000,2505000000,933000,..,81770886908.5198,108197950
2017,YR2017,Faroe Islands,FRO,..,..,..,..,2980057167.73595,50230
2017,YR2017,Fiji,FJI,138000000,1243000000,1027000,169000,5353468387.56019,919019
2017,YR2017,Finland,FIN,6740000000,5210000000,3180000,10480000,255647979916.473,5508214
2017,YR2017,France,FRA,53787000000,67717000000,207274000,44265000,2595151045197.67,66918020
2017,YR2017,French Polynesia,PYF,..,..,254000,55000,5833352684.45264,295450
2017,YR2017,Gabon,GAB,..,..,..,..,14929487495.759,2140215
2017,YR2017,"Gambia, The",GMB,8500000,128000000,522000,..,1504909447.77459,2381182
2017,YR2017,Georgia,GEO,853000000,2971000000,6483000,3851000,16242647229.7398,3728004
2017,YR2017,Germany,DEU,97163000000,55750000000,37452000,92402000,3690849152517.69,82657002
2017,YR2017,Ghana,GHA,1581000000,919000000,..,..,60405920071.1024,30222262
2017,YR2017,Gibraltar,GIB,..,..,..,..,..,32602
2017,YR2017,Greece,GRC,3306000000,19139000000,30161000,7685000,199844406013.533,10754679
2017,YR2017,Greenland,GRL,..,..,..,..,2851610655.92391,56172
2017,YR2017,Grenada,GRD,38000000,482000000,468000,..,1125685185.18519,120921
2017,YR2017,Guam,GUM,..,..,1545000,..,6013000000,168606
2017,YR2017,Guatemala,GTM,1066000000,1217599975.58594,2120000,1328000,71653756504.1625,16087418
2017,YR2017,Guinea,GIN,102400001.525879,16600000.3814697,99000,..,10324668270.876,12240789
2017,YR2017,Guinea-Bissau,GNB,..,16440000.5340576,49500,..,1350177012.24771,1879826
2017,YR2017,Guyana,GUY,..,..,247000,..,4748174334.14044,763252
2017,YR2017,Haiti,HTI,485000000,460000000,1262000,..,15093357143.42,10863543
2017,YR2017,Honduras,HND,517000000,610000000,2144000,727000,23136248046.2979,9626842
2017,YR2017,"Hong Kong SAR, China",HKG,25388000000,38170000000,58472000,91304000,341273289534.466,7393200
2017,YR2017,Hungary,HUN,3049000000,8448000000,54962000,20297000,143112196040.326,9787966
