,Country Name,Year,GDP per Capita
54,India,2019,2072
52,India,2020,1933
144,Indonesia,2017,3838
143,Indonesia,2018,3894
142,Indonesia,2019,4135
141,Indonesia,2020,3871
1024,Iran,2017,6032
1023,Iran,2018,4046
1022,Iran,2019,3514
1021,Iran,2020,2757
358,Iraq,2017,4985
356,Iraq,2018,5916
354,Iraq,2019,5943
352,Iraq,2020,4584
29,Ireland,2017,69774
27,Ireland,2018,79108
25,Ireland,2019,80887
23,Ireland,2020,85423
959,Isle Of Man,2017,83478
958,Isle Of Man,2018,89113
957,Isle Of Man,2019,86482
956,Isle Of Man,2020,0
159,Israel,2017,40774
157,Israel,2018,42063
155,Israel,2019,43951
153,Israel,2020,44178
73,Italy,2017,32407
71,Italy,2018,34622
69,Italy,2019,33673
67,Italy,2020,31835
689,Jamaica,2017,5070
687,Jamaica,2018,5360
685,Jamaica,2019,5369
683,Jamaica,2020,4665
28,Japan,2017,38834
26,Japan,2018,39727
24,Japan,2019,40458
22,Japan,2020,39918
559,Jordan,2017,4232
558,Jordan,2018,4308
557,Jordan,2019,4405
556,Jordan,2020,4283
373,Kazakhstan,2017,9248
371,Kazakhstan,2018,9813
369,Kazakhstan,2019,9813
367,Kazakhstan,2020,9122
418,Kenya,2017,1633
416,Kenya,2018,1794
414,Kenya,2019,1909
412,Kenya,2020,1872
1034,Kiribati,2017,1649
1033,Kiribati,2018,1694
1032,Kiribati,2019,1513
1031,Kiribati,2020,1515
659,Kosovo,2017,4009
657,Kosovo,2018,4384
655,Kosovo,2019,4416
653,Kosovo,2020,4311
909,Kuwait,2017,29759
907,Kuwait,2018,33399
905,Kuwait,2019,32373
903,Kuwait,2020,24812
839,Kyrgyz Republic,2017,1243
838,Kyrgyz Republic,2018,1308
837,Kyrgyz Republic,2019,1374
836,Kyrgyz Republic,2020,1183
724,Lao PDR,2017,2455
723,Lao PDR,2018,2569
722,Lao PDR,2019,2614
721,Lao PDR,2020,2609
314,Latvia,2017,15695
313,Latvia,2018,17865
312,Latvia,2019,17927
311,Latvia,2020,17704
744,Lebanon,2017,7776
743,Lebanon,2018,8004
742,Lebanon,2019,7527
741,Lebanon,2020,3802
884,Lesotho,2017,1103
883,Lesotho,2018,1192
882,Lesotho,2019,1153
881,Lesotho,2020,1051
874,Liberia,2017,721
873,Liberia,2018,710
872,Liberia,2019,672
871,Liberia,2020,601
573,Libya,2017,10205
571,Libya,2018,11482
569,Libya,2019,10218
567,Libya,2020,7614
1014,Liechtenstein,2017,171254
1013,Liechtenstein,2018,176499
1012,Liechtenstein,2019,169049
1011,Liechtenstein,2020,0
289,Lithuania,2017,16885
287,Lithuania,2018,19186
285,Lithuania,2019,19576
283,Lithuania,2020,20232
9,Luxembourg,2017,110193
7,Luxembourg,2018,117255
5,Luxembourg,2019,113219
3,Luxembourg,2020,116356
184,Macao,2017,81019
183,Macao,2018,87526
182,Macao,2019,86197
181,Macao,2020,39403
783,Madagascar,2017,515
781,Madagascar,2018,518
779,Madagascar,2019,526
777,Madagascar,2020,478
804,Malawi,2017,506
803,Malawi,2018,545
802,Malawi,2019,592
801,Malawi,2020,636
268,Malaysia,2017,10259
266,Malaysia,2018,11380
264,Malaysia,2019,11433
262,Malaysia,2020,10412
504,Maldives,2017,9577
503,Maldives,2018,10279
502,Maldives,2019,10562
501,Maldives,2020,6924
719,Mali,2017,830
718,Mali,2018,895
717,Mali,2019,879
716,Mali,2020,862
204,Malta,2017,28857
203,Malta,2018,31573
202,Malta,2019,31186
201,Malta,2020,28946
734,Marshall Islands,2017,3673
733,Marshall Islands,2018,3794
732,Marshall Islands,2019,4073
731,Marshall Islands,2020,4130
849,Mauritania,2017,1588
848,Mauritania,2018,1670
847,Mauritania,2019,1743
846,Mauritania,2020,1702
514,Mauritius,2017,10485
512,Mauritius,2018,11208
510,Mauritius,2019,11097
508,Mauritius,2020,8633
138,Mexico,2017,9288
136,Mexico,2018,9687
134,Mexico,2019,9950
132,Mexico,2020,8432
774,Micronesia,2017,3290
772,Micronesia,2018,3568
770,Micronesia,2019,3624
768,Micronesia,2020,3543
614,Moldova,2017,3510
613,Moldova,2018,4231
612,Moldova,2019,4492
611,Moldova,2020,4526
984,Monaco,2017,167517
983,Monaco,2018,185979
982,Monaco,2019,189487
981,Monaco,2020,173688
699,Mongolia,2017,3687
697,Mongolia,2018,4157
695,Mongolia,2019,4405
693,Mongolia,2020,4061
489,Montenegro,2017,7803
488,Montenegro,2018,8850
487,Montenegro,2019,8910
486,Montenegro,2020,7695
398,Morocco,2017,3035
396,Morocco,2018,3227
394,Morocco,2019,3235
392,Morocco,2020,3059
759,Mozambique,2017,461
758,Mozambique,2018,503
757,Mozambique,2019,507
756,Mozambique,2020,449
513,Myanmar,2017,1151
511,Myanmar,2018,1250
509,Myanmar,2019,1271
507,Myanmar,2020,1451
674,Namibia,2017,5367
673,Namibia,2018,5588
672,Namibia,2019,5028
671,Namibia,2020,4157
429,Nauru,2017,10339
427,Nauru,2018,11615
425,Nauru,2019,11030
423,Nauru,2020,10580
604,Nepal,2017,1048
603,Nepal,2018,1179
602,Nepal,2019,1195
601,Nepal,2020,1147
119,Netherlands,2017,48675
118,Netherlands,2018,53045
117,Netherlands,2019,52476
116,Netherlands,2020,52396
934,New Caledonia,2017,33977
933,New Caledonia,2018,36382
932,New Caledonia,2019,34789
931,New Caledonia,2020,34695
179,New Zealand,2017,42925
177,New Zealand,2018,43250
175,New Zealand,2019,42865
173,New Zealand,2020,41597
789,Nicaragua,2017,2159
788,Nicaragua,2018,2015
787,Nicaragua,2019,1924
786,Nicaragua,2020,1900
773,Niger,2017,518
771,Niger,2018,571
769,Niger,2019,554
767,Niger,2020,568
213,Nigeria,2017,1969
211,Nigeria,2018,2028
209,Nigeria,2019,2230
207,Nigeria,2020,2097
584,North Macedonia,2017,5450
582,North Macedonia,2018,6109
580,North Macedonia,2019,6070
578,North Macedonia,2020,5846
1004,Northern Mariana Islands,2017,27585
1003,Northern Mariana Islands,2018,22887
1002,Northern Mariana Islands,2019,20660
1001,Northern Mariana Islands,2020,0
49,Norway,2017,75497
47,Norway,2018,82268
45,Norway,2019,75720
43,Norway,2020,67330
374,Oman,2017,17329
372,Oman,2018,18947
370,Oman,2019,17701
368,Oman,2020,14485
288,Pakistan,2017,1632
286,Pakistan,2018,1678
284,Pakistan,2019,1482
282,Pakistan,2020,1360
994,Palau,2017,16020
993,Palau,2018,15895
992,Palau,2019,15232
991,Palau,2020,14244
399,Panama,2017,15146
397,Panama,2018,15545
395,Panama,2019,15774
393,Panama,2020,12510
658,Papua New Guinea,2017,2695
656,Papua New Guinea,2018,2801
